Line num,30056
packages num,6,29
files num,8,307
Average Line num per featured file,371,2973
,28
client,1148
cmd,1089
cmd/cli,1080
cmd/clidoc,14
cmd/server,365
consent,4201
driver,692
driver/config,796
health,6
internal,197
internal/httpclient/client,72
internal/httpclient/client/admin,6514
internal/httpclient/client/metadata,144
internal/httpclient/client/public,1509
internal/httpclient/models,2797
internal/testhelpers,706
jwk,1211
oauth2,3893
persistence,26
persistence/sql,1194
persistence/sql/migratest,474
spec,6
test/conformance,266
test/mock-cb,57
test/mock-client,179
test/mock-lcp,115
x,979
x/oauth2cors,298
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_default.go,30,Waitgroup,698,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_default.go,25,Waitgroup Add(var),700,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_default.go,26,Waitgroup Done(),703,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_default.go,5,Go in for,726,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_default.go,1,Goroutine,726,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_default.go,31,Waitgroup Wait(),729,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,26,Waitgroup Done(),63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,25,Waitgroup Add(var),123,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,26,Waitgroup Done(),130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,1,Goroutine,160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,3,Send,161,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,31,Waitgroup Wait(),214,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,223,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,31,Waitgroup Wait(),230,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,4,Synchronous chan,234,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,237,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,240,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,2,Receive,242,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,31,Waitgroup Wait(),251,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,31,Waitgroup Wait(),252,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,4,Synchronous chan,301,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,305,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,2,Receive,308,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,26,Waitgroup Done(),318,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,4,Synchronous chan,348,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,2,Receive,357,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,4,Synchronous chan,419,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,2,Receive,430,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,4,Synchronous chan,445,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,30,Waitgroup,448,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,2,Receive,459,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,26,Waitgroup Done(),470,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/consent/strategy_logout_test.go,31,Waitgroup Wait(),485,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,30,Waitgroup,103,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,24,Waitgroup Add(const),105,&{27752355 INT 3} val is : 3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,1,Goroutine,106,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,26,Waitgroup Done(),109,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,1,Goroutine,111,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,26,Waitgroup Done(),114,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,1,Goroutine,116,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,26,Waitgroup Done(),119,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,31,Waitgroup Wait(),122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,30,Waitgroup,131,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,25,Waitgroup Add(var),133,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,5,Go in for,135,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,1,Goroutine,135,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,26,Waitgroup Done(),136,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/internal/driver.go,31,Waitgroup Wait(),140,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,30,Waitgroup,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,24,Waitgroup Add(const),100,&{27854220 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,1,Goroutine,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,31,Waitgroup Wait(),113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,30,Waitgroup,125,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,24,Waitgroup Add(const),126,&{27854922 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,1,Goroutine,128,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,31,Waitgroup Wait(),139,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,30,Waitgroup,150,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,24,Waitgroup Add(const),151,&{27855563 INT 2} val is : 2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,1,Goroutine,153,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,1,Goroutine,164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,31,Waitgroup Wait(),175,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/server/handler.go,26,Waitgroup Done(),305,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,30,Waitgroup,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,5,Go in for,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,4,Synchronous chan,93,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,9,Unknown chan length,94,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,1,Goroutine,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,5,Go in for,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,24,Waitgroup Add(const),98,&{28144026 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,1,Goroutine,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,26,Waitgroup Done(),100,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,2,Receive,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,3,Send,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,31,Waitgroup Wait(),112,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,15,Close chan,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,15,Close chan,118,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_refresh_token_test.go,6,Range over chan,126,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_auth_code_test.go,27,Mutex,609,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_auth_code_test.go,29,Mutex Lock(),768,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/oauth2/oauth2_auth_code_test.go,28,Mutex Unlock(),769,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/root_test.go,1,Goroutine,136,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ory++hydra/cmd/token_user.go,1,Goroutine,200,
